Mar 06, 2025 12:08:27 PM com.ztasks.regex.runner.RegexRunner handleHtmlTagExtraction
INFO: HTML Tags: [<p>, <code>, </code>, </p>]
Mar 06, 2025 12:09:47 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: gog matching with dog ---> false
Mar 06, 2025 12:09:47 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: Dog matching with dog ---> true
Mar 06, 2025 12:09:47 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: DOG matching with dog ---> true
Mar 06, 2025 12:10:24 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: dog matching with dog ---> true
Mar 06, 2025 12:10:24 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: Dog matching with dog ---> true
Mar 06, 2025 12:10:24 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: DOG matching with dog ---> true
Mar 06, 2025 12:10:24 PM com.ztasks.regex.runner.RegexRunner findCaseInsensitiveMatches
INFO: doggy matching with dog ---> false
Mar 06, 2025 12:11:31 PM com.ztasks.regex.runner.RegexRunner validateMail
INFO: ramesh@gmail.com is valid mail?? true
Mar 06, 2025 12:12:00 PM com.ztasks.regex.runner.RegexRunner validateMail
INFO: tom@yahoocom is valid mail?? false
